cohort_date,cohort_size,retained_d1,retained_d7,retained_d14,retained_d30,d1_retention,d7_retention,d14_retention,d30_retention,avg_level_gain_7d,avg_active_days_7d,avg_observations_7d
2007-07-05,102,27,6,3,3,0.2647058823529412,0.058823529411764705,0.029411764705882353,0.029411764705882353,3.127450980392157,1.6862745098039216,15.392156862745098
2007-07-06,100,23,5,5,2,0.23,0.05,0.05,0.02,2.74,1.63,16.79
2007-07-07,104,30,14,11,9,0.28846153846153844,0.1346153846153846,0.10576923076923077,0.08653846153846154,3.9423076923076925,1.9230769230769231,26.41346153846154
2007-07-08,100,26,8,10,8,0.26,0.08,0.1,0.08,3.52,1.91,19.9
2007-07-09,122,30,9,7,5,0.2459016393442623,0.07377049180327869,0.05737704918032787,0.040983606557377046,3.5163934426229506,1.8360655737704918,21.89344262295082
2007-07-10,215,38,10,10,6,0.17674418604651163,0.046511627906976744,0.046511627906976744,0.027906976744186046,3.1348837209302327,1.5023255813953489,13.986046511627906
2007-07-11,128,20,6,6,5,0.15625,0.046875,0.046875,0.0390625,2.78125,1.5703125,14.40625
2007-07-12,65,19,5,2,2,0.2923076923076923,0.07692307692307693,0.03076923076923077,0.03076923076923077,3.723076923076923,1.8461538461538463,20.4
2007-07-13,94,19,8,5,7,0.20212765957446807,0.0851063829787234,0.05319148936170213,0.07446808510638298,2.925531914893617,1.7127659574468086,18.159574468085108
2007-07-14,65,21,10,7,5,0.3230769230769231,0.15384615384615385,0.1076923076923077,0.07692307692307693,4.184615384615385,2.2,33.184615384615384
2007-07-15,75,25,14,9,5,0.3333333333333333,0.18666666666666668,0.12,0.06666666666666667,4.96,2.466666666666667,40.32
2007-07-16,85,26,8,8,8,0.3058823529411765,0.09411764705882353,0.09411764705882353,0.09411764705882353,4.447058823529412,2.152941176470588,33.28235294117647
2007-07-17,75,17,5,4,2,0.22666666666666666,0.06666666666666667,0.05333333333333334,0.02666666666666667,3.2533333333333334,1.8133333333333332,17.546666666666667
2007-07-18,84,17,4,3,2,0.20238095238095238,0.047619047619047616,0.03571428571428571,0.023809523809523808,3.8095238095238093,1.7261904761904763,25.595238095238095
2007-07-19,102,27,8,3,2,0.2647058823529412,0.0784313725490196,0.029411764705882353,0.0196078431372549,3.196078431372549,1.8235294117647058,18.03921568627451
2007-07-20,135,39,16,12,13,0.28888888888888886,0.11851851851851852,0.08888888888888889,0.0962962962962963,4.7407407407407405,1.9851851851851852,33.022222222222226
2007-07-21,98,32,11,11,8,0.32653061224489793,0.11224489795918367,0.11224489795918367,0.08163265306122448,3.9183673469387754,1.7653061224489797,24.8265306122449
2007-07-22,90,29,13,7,3,0.32222222222222224,0.14444444444444443,0.07777777777777778,0.03333333333333333,4.2444444444444445,1.988888888888889,27.033333333333335
